UNITID,EFTOTLT,EFTOTLM,EFTOTLW
101143,1015,565,450
101143,1015,565,450
101143,702,354,348
101143,74,44,30
101143,628,310,318
101143,313,211,102
101143,124,63,61
101143,504,247,257
101161,4362,1593,2769
101161,4362,1593,2769
101161,4182,1534,2648
101161,1288,518,770
101161,2894,1016,1878
101161,180,59,121
101161,498,177,321
101161,2396,839,1557
101161,2573,992,1581
101161,2573,992,1581
101161,2565,987,1578
101161,1078,426,652
101161,1487,561,926
101161,8,5,3
101161,292,111,181
101161,1195,450,745
101161,1789,601,1188
101161,1789,601,1188
101161,1617,547,1070
101161,210,92,118
101161,1407,455,952
101161,172,54,118
101161,206,66,140
101161,1201,389,812
101189,3193,1203,1990
101189,2617,962,1655
101189,2358,844,1514
101189,298,156,142
101189,2060,688,1372
101189,259,118,141
101189,576,241,335
101189,460,148,312
101189,1600,540,1060
101189,2321,925,1396
101189,1803,713,1090
101189,1803,713,1090
101189,287,152,135
101189,1516,561,955
101189,518,212,306
101189,303,107,196
101189,1213,454,759
101189,872,278,594
101189,814,249,565
101189,555,131,424
101189,11,4,7
101189,544,127,417
101189,259,118,141
101189,58,29,29
101189,157,41,116
101189,387,86,301
101240,5797,2364,3433
101240,5797,2364,3433
101240,5480,2223,3257
101240,1388,641,747
101240,4092,1582,2510
101240,317,141,176
101240,381,151,230
101240,3711,1431,2280
101240,3185,1480,1705
101240,3185,1480,1705
101240,3099,1428,1671
101240,1143,541,602
101240,1956,887,1069
101240,86,52,34
101240,209,93,116
101240,1747,794,953
101240,2612,884,1728
101240,2612,884,1728
101240,2381,795,1586
101240,245,100,145
101240,2136,695,1441
101240,231,89,142
101240,172,58,114
101240,1964,637,1327
101277,89,1,88
101277,89,1,88
101277,89,1,88
101277,32,0,32
101277,57,1,56
101277,57,1,56
101277,89,1,88
101277,89,1,88
101277,89,1,88
101277,32,0,32
101277,57,1,56
101277,57,1,56
101286,4686,1590,3096
101286,4686,1590,3096
101286,4293,1456,2837
101286,1044,450,594
101286,3249,1006,2243
101286,393,134,259
101286,352,131,221
101286,2897,875,2022
101286,2294,884,1410
101286,2294,884,1410
101286,2286,878,1408
101286,840,362,478
101286,1446,516,930
101286,8,6,2
101286,193,80,113
101286,1253,436,817
101286,2392,706,1686
101286,2392,706,1686
101286,2007,578,1429
101286,204,88,116
101286,1803,490,1313
101286,385,128,257
101286,159,51,108
101286,1644,439,1205
101295,5281,1998,3283
101295,5281,1998,3283
101295,4904,1847,3057
101295,1194,544,650
101295,3710,1303,2407
101295,377,151,226
101295,327,87,240
101295,3383,1216,2167
101295,2954,1250,1704
101295,2954,1250,1704
101295,2917,1241,1676
101295,997,456,541
101295,1920,785,1135
101295,37,9,28
101295,196,61,135
101295,1724,724,1000
101295,2327,748,1579
101295,2327,748,1579
101295,1987,606,1381
101295,197,88,109
101295,1790,518,1272
101295,340,142,198
101295,131,26,105
101295,1659,492,1167
101301,1745,590,1155
101301,1745,590,1155
101301,1604,551,1053
101301,408,195,213
101301,1196,356,840
101301,141,39,102
101301,178,52,126
101301,1018,304,714
101301,1068,406,662
101301,1068,406,662
101301,1067,405,662
101301,371,178,193
101301,696,227,469
101301,1,1,0
101301,110,34,76
101301,586,193,393
101301,677,184,493
101301,677,184,493
101301,537,146,391
101301,37,17,20
101301,500,129,371
101301,140,38,102
101301,68,18,50
101301,432,111,321
101365,320,100,220
101365,320,100,220
101365,318,98,220
101365,51,28,23
101365,267,70,197
101365,2,2,0
101365,65,7,58
101365,202,63,139
101365,160,38,122
101365,160,38,122
101365,160,38,122
101365,25,7,18
101365,135,31,104
101365,18,3,15
101365,117,28,89
101365,160,62,98
101365,160,62,98
101365,158,60,98
101365,26,21,5
101365,132,39,93
101365,2,2,0
101365,47,4,43
101365,85,35,50
